33,Сиена , Интер ,1,2
33,Палермо , Парма ,3,4
33,Катания , Асколи ,3,3
34,Торино , Милан ,0,1
34,Фиорентина , Кьево ,1,0
34,Асколи , Реджина ,2,3
34,Ливорно , Палермо ,1,2
34,Мессина , Аталанта ,0,0
34,Парма , Кальяри ,2,1
34,Рома , Лацио ,0,0
34,Сиена , Сампдория ,0,2
34,Удинезе , Катания ,0,1
34,Интер , Эмполи ,3,1
35,Аталанта , Сиена ,3,1
35,Кальяри , Удинезе ,2,1
35,Кьево , Парма ,1,0
35,Эмполи , Катания ,2,1
35,Лацио , Ливорно ,1,0
35,Мессина , Интер ,0,1
35,Милан , Фиорентина ,0,0
35,Палермо , Рома ,1,2
35,Сампдория , Реджина ,0,0
35,Торино , Асколи ,1,0
36,Асколи , Палермо ,3,2
36,Катания , Милан ,1,1
36,Фиорентина , Кальяри ,1,0
36,Интер , Лацио ,4,3
36,Ливорно , Сампдория ,1,0
36,Парма , Мессина ,4,1
36,Реджина , Кьево ,1,1
36,Рома , Торино ,0,1
36,Сиена , Эмполи ,2,0
36,Удинезе , Аталанта ,2,3
37,Милан , Удинезе ,2,3
37,Аталанта , Интер ,1,1
37,Кальяри , Рома ,3,2
37,Кьево , Асколи ,1,0
37,Эмполи , Реджина ,3,3
37,Лацио , Парма ,0,0
37,Мессина , Фиорентина ,2,2
37,Палермо , Сиена ,2,1
37,Сампдория , Катания ,1,0
37,Торино , Ливорно ,0,0
38,Асколи , Кальяри ,2,1
38,Катания , Кьево ,2,0
38,Фиорентина , Сампдория ,5,1
38,Интер , Торино ,3,0
38,Ливорно , Аталанта ,4,2
38,Парма , Эмполи ,3,1
38,Реджина , Милан ,2,0
38,Рома , Мессина ,4,3
38,Сиена , Лацио ,2,1
38,Удинезе , Палермо ,1,2
