15,Спортинг Хихон , Реал Мадрид ,0,3
15,Расинг , Вильярреал ,1,0
15,Барселона , Леванте ,5,0
15,Валенсия , Эспаньол ,2,1
15,Атлетико М , Райо Вальекано ,3,1
15,Реал Сосьедад , Малага ,3,2
15,Осасуна , Бетис ,2,1
15,Мальорка , Атлетик Б ,1,1
15,Гранада , Сарагоса ,1,0
15,Севилья , Хетафе ,3,0
16,Леванте , Севилья ,1,0
16,Бетис , Валенсия ,2,1
16,Реал Мадрид , Барселона ,1,3
16,Райо Вальекано , Спортинг Хихон ,1,3
16,Хетафе , Гранада ,1,0
16,Вильярреал , Реал Сосьедад ,1,1
16,Сарагоса , Мальорка ,0,1
16,Малага , Осасуна ,1,1
16,Атлетик Б , Расинг ,1,1
16,Эспаньол , Атлетико М ,4,2
17,Барселона , Райо Вальекано ,4,0
17,Мальорка , Хетафе ,1,2
17,Спортинг Хихон , Эспаньол ,1,2
17,Атлетик Б , Сарагоса ,2,1
17,Севилья , Реал Мадрид ,2,6
17,Атлетико М , Бетис ,0,2
17,Гранада , Леванте ,2,1
17,Осасуна , Вильярреал ,2,1
17,Расинг , Реал Сосьедад ,0,0
17,Валенсия , Малага ,2,0
18,Расинг , Сарагоса ,1,0
18,Леванте , Мальорка ,0,0
18,Реал Сосьедад , Осасуна ,0,0
18,Реал Мадрид , Гранада ,5,1
18,Малага , Атлетико М ,0,0
18,Райо Вальекано , Севилья ,2,1
18,Хетафе , Атлетик Б ,0,0
18,Вильярреал , Валенсия ,2,2
18,Бетис , Спортинг Хихон ,2,0
18,Эспаньол , Барселона ,1,1
19,Сарагоса , Хетафе ,1,1
19,Гранада , Райо Вальекано ,1,2
19,Севилья , Эспаньол ,0,0
19,Мальорка , Реал Мадрид ,1,2
19,Валенсия , Реал Сосьедад ,0,1
19,Атлетико М , Вильярреал ,3,0
19,Осасуна , Расинг ,0,2
19,Атлетик Б , Леванте ,3,0
19,Спортинг Хихон , Малага ,2,1
19,Барселона , Бетис ,4,2
20,Хетафе , Расинг ,1,1
20,Гранада , Эспаньол ,2,1
20,Спортинг Хихон , Вильярреал ,2,3
20,Атлетико М , Реал Сосьедад ,1,1
20,Барселона , Малага ,4,1
20,Севилья , Бетис ,1,2
20,Мальорка , Райо Вальекано ,1,0
20,Сарагоса , Леванте ,1,0
20,Валенсия , Осасуна ,4,0
20,Атлетик Б , Реал Мадрид ,0,3
21,Эспаньол , Мальорка ,1,0
21,Райо Вальекано , Атлетик Б ,2,3
21,Реал Мадрид , Сарагоса ,3,1
21,Вильярреал , Барселона ,0,0
21,Бетис , Гранада ,1,2
21,Реал Сосьедад , Спортинг Хихон ,5,1
21,Леванте , Хетафе ,1,2
21,Расинг , Валенсия ,2,2
21,Малага , Севилья ,2,1
21,Осасуна , Атлетико М ,0,1
22,Мальорка , Бетис ,1,0
22,Атлетик Б , Эспаньол ,3,3
22,Леванте , Расинг ,1,1
22,Хетафе , Реал Мадрид ,0,1
22,Барселона , Реал Сосьедад ,2,1
22,Спортинг Хихон , Осасуна ,1,1
22,Севилья , Вильярреал ,1,2
22,Сарагоса , Райо Вальекано ,1,2
22,Атлетико М , Валенсия ,0,0
22,Гранада , Малага ,2,1
23,Расинг , Атлетико М ,0,0
23,Осасуна , Барселона ,3,2
23,Бетис , Атлетик Б ,2,1
23,Эспаньол , Сарагоса ,0,2
23,Малага , Мальорка ,3,1
23,Райо Вальекано , Хетафе ,2,0
23,Валенсия , Спортинг Хихон ,4,0
23,Вильярреал , Гранада ,3,1
23,Реал Мадрид , Леванте ,4,2
23,Реал Сосьедад , Севилья ,2,0
24,Хетафе , Эспаньол ,1,1
24,Реал Мадрид , Расинг ,4,0
24,Севилья , Осасуна ,2,0
24,Гранада , Реал Сосьедад ,4,1
24,Атлетик Б , Малага ,3,0
24,Спортинг Хихон , Атлетико М ,1,1
24,Мальорка , Вильярреал ,4,0
24,Леванте , Райо Вальекано ,3,5
24,Барселона , Валенсия ,5,1
24,Сарагоса , Бетис ,0,2
25,Расинг , Спортинг Хихон ,1,1
25,Бетис , Хетафе ,1,1
25,Малага , Сарагоса ,5,1
25,Эспаньол , Леванте ,1,2
25,Вильярреал , Атлетик Б ,2,2
25,Райо Вальекано , Реал Мадрид ,0,1
25,Валенсия , Севилья ,1,2
25,Осасуна , Гранада ,2,1
25,Реал Сосьедад , Мальорка ,1,0
25,Атлетико М , Барселона ,1,2
26,Мальорка , Осасуна ,1,1
26,Хетафе , Малага ,1,3
26,Райо Вальекано , Расинг ,4,2
26,Барселона , Спортинг Хихон ,3,1
26,Севилья , Атлетико М ,1,1
26,Сарагоса , Вильярреал ,2,1
26,Атлетик Б , Реал Сосьедад ,2,0
26,Гранада , Валенсия ,0,1
26,Реал Мадрид , Эспаньол ,5,0
26,Леванте , Бетис ,3,1
27,Реал Сосьедад , Сарагоса ,3,0
27,Малага , Леванте ,1,0
27,Спортинг Хихон , Севилья ,1,0
27,Бетис , Реал Мадрид ,2,3
27,Атлетико М , Гранада ,2,0
27,Эспаньол , Райо Вальекано ,5,1
27,Валенсия , Мальорка ,2,2
27,Расинг , Барселона ,0,2
27,Осасуна , Атлетик Б ,2,1
27,Вильярреал , Хетафе ,1,2
28,Гранада , Спортинг Хихон ,2,1
28,Сарагоса , Осасуна ,1,1
28,Хетафе , Реал Сосьедад ,1,0
28,Севилья , Барселона ,0,2
28,Райо Вальекано , Бетис ,3,0
28,Леванте , Вильярреал ,1,0
28,Мальорка , Атлетико М ,2,1
28,Атлетик Б , Валенсия ,0,3
28,Реал Мадрид , Малага ,1,1
28,Эспаньол , Расинг ,3,1
29,Осасуна , Хетафе ,0,0
29,Барселона , Гранада ,5,3
29,Спортинг Хихон , Мальорка ,2,3
29,Атлетико М , Атлетик Б ,2,1
29,Валенсия , Сарагоса ,1,2
29,Реал Сосьедад , Леванте ,1,3
29,Вильярреал , Реал Мадрид ,1,1
29,Расинг , Севилья ,0,3
29,Бетис , Эспаньол ,1,1
29,Малага , Райо Вальекано ,4,2
30,Мальорка , Барселона ,0,2
30,Реал Мадрид , Реал Сосьедад ,5,1
30,Хетафе , Валенсия ,3,1
30,Сарагоса , Атлетико М ,1,0
