30,Сарагоса , Малага ,2,0
30,Барселона , Атлетик Б ,4,1
30,Севилья , Тенерифе  ,3,0
30,Вальядолид , Вильярреал ,0,2
30,Спортинг Хихон , Херес ,2,2
30,Хетафе , Эспаньол ,1,1
30,Альмерия , Мальорка ,1,1
30,Валенсия , Осасуна ,3,0
30,Расинг , Реал Мадрид ,0,2
30,Атлетико М , Депортиво ,3,0
31,Малага , Севилья ,1,2
31,Тенерифе  , Вальядолид ,0,0
31,Вильярреал , Спортинг Хихон ,1,0
31,Херес , Хетафе ,0,1
31,Реал Мадрид , Барселона ,0,2
31,Депортиво , Расинг ,1,1
31,Атлетик Б , Альмерия ,4,1
31,Осасуна , Сарагоса ,2,0
31,Эспаньол , Атлетико М ,3,0
31,Мальорка , Валенсия ,3,2
32,Вальядолид , Севилья ,2,1
32,Спортинг Хихон , Тенерифе  ,0,2
32,Хетафе , Вильярреал ,3,0
32,Атлетико М , Херес ,1,2
32,Расинг , Эспаньол ,3,1
32,Сарагоса , Мальорка ,1,1
32,Осасуна , Малага ,2,2
32,Барселона , Депортиво ,3,0
32,Альмерия , Реал Мадрид ,1,2
32,Валенсия , Атлетик Б ,2,0
33,Севилья , Спортинг Хихон ,3,0
33,Эспаньол , Барселона ,0,0
33,Вильярреал , Атлетико М ,2,1
33,Малага , Вальядолид ,0,0
33,Тенерифе  , Хетафе ,3,2
33,Херес , Расинг ,2,2
33,Депортиво , Альмерия ,0,0
33,Атлетик Б , Сарагоса ,0,0
33,Реал Мадрид , Валенсия ,2,0
