23,Вест Хэм Юнайтед , Халл Сити ,2,0
23,Блэкберн Роверс , Болтон Уондерерс ,2,2
23,Эвертон , Арсенал ,1,1
24,Сток Сити , Манчестер Сити ,1,0
24,Болтон Уондерерс , Тоттенхэм Хотспур ,3,2
24,Астон Вилла , Уиган Атлетик ,0,0
24,Арсенал , Вест Хэм Юнайтед ,0,0
24,Мидлсбро , Блэкберн Роверс ,0,0
24,Фулхэм , Портсмут ,3,1
24,Халл Сити , Вест Бромвич Альбион ,2,2
24,Манчестер Юнайтед , Эвертон ,1,0
24,Ньюкасл Юнайтед , Сандерленд ,1,1
24,Ливерпуль , Челси ,2,0
25,Манчестер Сити , Мидлсбро ,1,0
25,Блэкберн Роверс , Астон Вилла ,0,2
25,Уиган Атлетик , Фулхэм ,0,0
25,Эвертон , Болтон Уондерерс ,3,0
25,Сандерленд , Сток Сити ,2,0
25,Вест Бромвич Альбион , Ньюкасл Юнайтед ,2,3
25,Челси , Халл Сити ,0,0
25,Портсмут , Ливерпуль ,2,3
25,Тоттенхэм Хотспур , Арсенал ,0,0
25,Вест Хэм Юнайтед , Манчестер Юнайтед ,0,1
21,Портсмут , Манчестер Сити ,2,0
3,Манчестер Юнайтед , Фулхэм ,3,0
26,Астон Вилла , Челси ,0,1
26,Болтон Уондерерс , Вест Хэм Юнайтед ,2,1
26,Арсенал , Сандерленд ,0,0
26,Мидлсбро , Уиган Атлетик ,0,0
26,Сток Сити , Портсмут ,2,2
26,Манчестер Юнайтед , Блэкберн Роверс ,2,1
26,Фулхэм , Вест Бромвич Альбион ,2,0
26,Ливерпуль , Манчестер Сити ,1,1
26,Ньюкасл Юнайтед , Эвертон ,0,0
26,Халл Сити , Тоттенхэм Хотспур ,1,2
27,Эвертон , Вест Бромвич Альбион ,2,0
27,Челси , Уиган Атлетик ,2,1
27,Арсенал , Фулхэм ,0,0
27,Мидлсбро , Ливерпуль ,2,0
27,Халл Сити , Блэкберн Роверс ,1,2
27,Вест Хэм Юнайтед , Манчестер Сити ,1,0
27,Болтон Уондерерс , Ньюкасл Юнайтед ,1,0
27,Астон Вилла , Сток Сити ,2,2
28,Вест Бромвич Альбион , Арсенал ,1,3
28,Портсмут , Челси ,0,1
28,Ливерпуль , Сандерленд ,2,0
28,Уиган Атлетик , Вест Хэм Юнайтед ,0,1
28,Сток Сити , Болтон Уондерерс ,2,0
28,Ньюкасл Юнайтед , Манчестер Юнайтед ,1,2
28,Манчестер Сити , Астон Вилла ,2,0
28,Тоттенхэм Хотспур , Мидлсбро ,4,0
28,Блэкберн Роверс , Эвертон ,0,0
28,Фулхэм , Халл Сити ,0,1
27,Сандерленд , Тоттенхэм Хотспур ,1,1
21,Фулхэм , Блэкберн Роверс ,1,2
29,Манчестер Юнайтед , Ливерпуль ,1,4
29,Болтон Уондерерс , Фулхэм ,1,3
29,Арсенал , Блэкберн Роверс ,4,0
29,Эвертон , Сток Сити ,3,1
29,Сандерленд , Уиган Атлетик ,1,2
29,Мидлсбро , Портсмут ,1,1
29,Халл Сити , Ньюкасл Юнайтед ,1,1
29,Челси , Манчестер Сити ,1,0
29,Астон Вилла , Тоттенхэм Хотспур ,1,2
29,Вест Хэм Юнайтед , Вест Бромвич Альбион ,0,0
30,Портсмут , Эвертон ,2,1
30,Блэкберн Роверс , Вест Хэм Юнайтед ,1,1
30,Фулхэм , Манчестер Юнайтед ,2,0
30,Сток Сити , Мидлсбро ,1,0
30,Вест Бромвич Альбион , Болтон Уондерерс ,1,1
30,Тоттенхэм Хотспур , Челси ,1,0
30,Ньюкасл Юнайтед , Арсенал ,1,3
30,Уиган Атлетик , Халл Сити ,1,0
30,Манчестер Сити , Сандерленд ,1,0
30,Ливерпуль , Астон Вилла ,5,0
31,Блэкберн Роверс , Тоттенхэм Хотспур ,2,1
31,Ньюкасл Юнайтед , Челси ,0,2
31,Халл Сити , Портсмут ,0,0
31,Вест Хэм Юнайтед , Сандерленд ,2,0
31,Болтон Уондерерс , Мидлсбро ,4,1
31,Арсенал , Манчестер Сити ,2,0
31,Вест Бромвич Альбион , Сток Сити ,0,2
31,Фулхэм , Ливерпуль ,0,1
31,Эвертон , Уиган Атлетик ,4,0
31,Манчестер Юнайтед , Астон Вилла ,3,2
32,Ливерпуль , Блэкберн Роверс ,4,0
32,Уиган Атлетик , Арсенал ,1,4
32,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,1,0
32,Сандерленд , Манчестер Юнайтед ,1,2
32,Портсмут , Вест Бромвич Альбион ,2,2
32,Мидлсбро , Халл Сити ,3,1
32,Челси , Болтон Уондерерс ,4,3
32,Сток Сити , Ньюкасл Юнайтед ,1,1
32,Астон Вилла , Эвертон ,3,3
