"22.10.2015, 19:00 ",СКА-Нева , Молот-Прикамье ,3,1,
"22.10.2015, 19:00 ",ТХК , Спутник ,2,1,
"22.10.2015, 19:00 ",Барс , Динамо ,2,1,
"23.10.2015, 14:00 ",Ермак , Зауралье ,1,4,
"23.10.2015, 15:00 ",Сокол , Рубин ,2,3,
"23.10.2015, 16:30 ",Челмет , Химик ,6,2,
"23.10.2015, 16:30 ",Южный Урал , ХК Рязань ,2,1,
"24.10.2015, 17:00 ",Кристалл , Торпедо ,3,2,  Б 
"24.10.2015, 17:00 ",Дизель , Сарыарка ,0,1,
"24.10.2015, 17:00 ",Нефтяник , Динамо ,4,5,  Б 
"24.10.2015, 17:00 ",Барс , Звезда-ВДВ ,4,0,
"25.10.2015, 15:00 ",Челмет , ХК Рязань ,2,4,
"25.10.2015, 15:00 ",Южный Урал , Химик ,3,2,
"26.10.2015, 18:30 ",Ариада , Динамо ,3,2,  ОТ 
"26.10.2015, 18:30 ",Нефтяник , СКА-Нева ,2,1,  Б 
"26.10.2015, 18:30 ",ХК Саров , Звезда-ВДВ ,5,1,
"26.10.2015, 19:00 ",Кристалл , Сарыарка ,2,4,
"26.10.2015, 19:00 ",Дизель , Торпедо ,1,2,
"26.10.2015, 19:00 ",Барс , ТХК ,0,1,
"27.10.2015, 16:30 ",Зауралье , Химик ,4,0,
"27.10.2015, 16:30 ",Южный Урал , Буран ,4,5,
"27.10.2015, 16:30 ",Челмет , Звезда ,1,3,
"27.10.2015, 17:00 ",Спутник , Ижсталь ,3,2,
"27.10.2015, 17:00 ",Рубин , ХК Рязань ,0,1,
"27.10.2015, 17:00 ",Молот-Прикамье , Торос ,2,7,
"28.10.2015, 18:30 ",Ариада , Звезда-ВДВ ,3,1,
"28.10.2015, 18:30 ",ХК Саров , Динамо ,2,3,  Б 
"28.10.2015, 18:30 ",Нефтяник , ТХК ,4,3,  Б 
"28.10.2015, 19:00 ",Кристалл , Ермак ,2,7,
"28.10.2015, 19:00 ",Дизель , Сокол ,1,2,  Б 
"28.10.2015, 19:00 ",Барс , СКА-Нева ,1,4,
"29.10.2015, 16:30 ",Зауралье , ХК Рязань ,2,3,
"29.10.2015, 16:30 ",Южный Урал , Звезда ,0,1,
"29.10.2015, 16:30 ",Челмет , Буран ,3,4,
"29.10.2015, 17:00 ",Спутник , Торос ,0,3,
"29.10.2015, 17:00 ",Рубин , Химик ,4,3,
"29.10.2015, 17:00 ",Молот-Прикамье , Ижсталь ,2,1,
"30.10.2015, 18:30 ",Ариада , ТХК ,0,3,
"30.10.2015, 18:30 ",ХК Саров , СКА-Нева ,2,1,  Б 
"30.10.2015, 19:00 ",Кристалл , Сокол ,3,2,  Б 
"30.10.2015, 19:00 ",Дизель , Ермак ,2,5,
"31.10.2015, 15:00 ",Зауралье , Звезда ,4,1,
"31.10.2015, 15:00 ",Рубин , Буран ,1,0,
"01.11.2015, 17:00 ",Ариада , СКА-Нева ,1,4,
"01.11.2015, 17:00 ",ХК Саров , ТХК ,1,2,
"02.11.2015, 16:30 ",Зауралье , Буран ,1,6,
"02.11.2015, 17:00 ",Рубин , Звезда ,6,1,
"03.11.2015, 17:00 ",Торос , Барс ,6,1,
"03.11.2015, 17:30 ",Ижсталь , Нефтяник ,3,2,  ОТ 
"03.11.2015, 19:00 ",Динамо , Челмет ,2,3,  ОТ 
"03.11.2015, 19:00 ",Звезда-ВДВ , Южный Урал ,1,2,  Б 
"04.11.2015, 15:30 ",Торпедо , Ермак ,4,0,
"04.11.2015, 16:00 ",Сарыарка , Сокол ,0,2,
"05.11.2015, 17:00 ",Торос , Нефтяник ,2,3,
"05.11.2015, 17:30 ",Ижсталь , Барс ,5,2,
"05.11.2015, 18:30 ",Химик , Кристалл ,6,2,
"05.11.2015, 19:00 ",Динамо , Южный Урал ,2,0,
"05.11.2015, 19:00 ",Звезда-ВДВ , Челмет ,3,1,
"05.11.2015, 19:00 ",ХК Рязань , Дизель ,3,1,
"06.11.2015, 15:30 ",Торпедо , Сокол ,3,2,  Б 
"06.11.2015, 16:00 ",Сарыарка , Ермак ,3,2,
"07.11.2015, 15:00 ",Молот-Прикамье , Барс ,3,2,
"07.11.2015, 15:00 ",Спутник , Нефтяник ,4,2,
"07.11.2015, 17:00 ",СКА-Нева , Южный Урал ,3,4,  Б 
"07.11.2015, 17:00 ",ТХК , Челмет ,1,2,
"07.11.2015, 17:00 ",Химик , Дизель ,4,1,
"07.11.2015, 17:00 ",ХК Рязань , Кристалл ,6,1,
"08.11.2015, 15:00 ",Торос , ХК Саров ,2,0,
"08.11.2015, 16:00 ",Ижсталь , Ариада ,5,4,  Б 
"08.11.2015, 17:00 ",Динамо , Рубин ,0,3,
"08.11.2015, 19:30 ",Звезда-ВДВ , Зауралье ,0,4,
"09.11.2015, 17:00 ",Спутник , Барс ,1,2,  Б 
"09.11.2015, 17:00 ",Молот-Прикамье , Нефтяник ,3,4,
"09.11.2015, 19:00 ",Буран , Кристалл ,5,1,
"09.11.2015, 19:00 ",СКА-Нева , Челмет ,2,3,
"09.11.2015, 19:00 ",Звезда , Дизель ,4,3,  ОТ 
"09.11.2015, 19:00 ",ТХК , Южный Урал ,3,0,
"10.11.2015, 17:00 ",Торос , Ариада ,2,3,  Б 
"10.11.2015, 17:30 ",Ижсталь , ХК Саров ,3,0,
"10.11.2015, 19:00 ",Динамо , Зауралье ,2,3,  Б 
"10.11.2015, 19:00 ",Звезда-ВДВ , Рубин ,1,3,
"11.11.2015, 19:00 ",Буран , Дизель ,4,2,
"11.11.2015, 19:00 ",Звезда , Кристалл ,5,2,
"12.11.2015, 15:30 ",Торпедо , Химик ,3,5,
"12.11.2015, 16:00 ",Сарыарка , ХК Рязань ,1,3,
