"04.10.2014, 15:00 ",Юниор , Кузнецкие Медведи ,4,2,
"04.10.2014, 17:00 ",Динамо СПб , ХК Рига ,3,2,
"04.10.2014, 18:30 ",Ред Булл , Динамо-Шинник ,4,3,  Б 
"04.10.2014, 19:00 ",Энергия , Юность ,3,2,  Б 
"05.10.2014, 06:00 ",Амурские Тигры , Русские Витязи ,1,5,
"05.10.2014, 07:00 ",Сахалинские Акулы , Капитан ,8,6,
"05.10.2014, 12:00 ",Белые Медведи , Чайка ,5,4,
"05.10.2014, 13:00 ",Беркуты Кубани , ХК МВД ,2,4,
"05.10.2014, 17:00 ",Динамо СПб , ХК Рига ,3,4,  ОТ 
"06.10.2014, 13:00 ",Мамонты Югры , Снежные Барсы ,3,2,
"07.10.2014, 15:00 ",Стальные Лисы , Чайка ,2,3,  Б 
"07.10.2014, 15:00 ",Авто , Кузнецкие Медведи ,3,4,  Б 
"07.10.2014, 16:30 ",Толпар , Ирбис ,7,3,
"07.10.2014, 16:30 ",Юниор , Кристалл ,0,4,
"07.10.2014, 17:00 ",Белые Медведи , Олимпия ,4,2,
"07.10.2014, 17:00 ",Белые Тигры , Челны ,3,2,
"07.10.2014, 17:00 ",Мамонты Югры , Снежные Барсы ,4,3,
"07.10.2014, 17:00 ",Ред Булл , Юность ,1,0,  Б 
"07.10.2014, 17:00 ",Красная Армия , МХК Химик ,4,2,
"07.10.2014, 18:30 ",Алмаз , СКА-1946 ,7,2,
"07.10.2014, 19:00 ",Ладья , Реактор ,3,1,
"07.10.2014, 19:30 ",Локо , СКА-Серебряные Львы ,5,0,
"07.10.2014, 19:30 ",МХК Спартак , Атланты ,5,1,
"07.10.2014, 20:00 ",Энергия , Динамо-Шинник ,0,1,  Б 
"08.10.2014, 12:00 ",Амурские Тигры , Капитан ,1,4,
"08.10.2014, 12:30 ",Сахалинские Акулы , Русские Витязи ,3,5,
"08.10.2014, 15:00 ",Стальные Лисы , Чайка ,4,3,
"08.10.2014, 15:00 ",Авто , Кузнецкие Медведи ,1,0,
"08.10.2014, 16:30 ",Толпар , Ирбис ,5,4,
"08.10.2014, 17:00 ",Белые Медведи , Олимпия ,10,3,
"08.10.2014, 17:00 ",Белые Тигры , Челны ,8,2,
"08.10.2014, 17:00 ",Красная Армия , МХК Химик ,3,1,
"08.10.2014, 18:30 ",Алмаз , СКА-1946 ,1,3,
"08.10.2014, 19:00 ",Ладья , Реактор ,2,1,
"08.10.2014, 19:30 ",Локо , СКА-Серебряные Львы ,3,1,
"08.10.2014, 19:30 ",МХК Спартак , Атланты ,2,3,  Б 
"08.10.2014, 19:45 ",Ред Булл , Юность ,4,1,
"08.10.2014, 20:00 ",Энергия , Динамо-Шинник ,1,0,
"09.10.2014, 12:00 ",Амурские Тигры , Капитан ,3,4,
"09.10.2014, 12:30 ",Сахалинские Акулы , Русские Витязи ,3,4,  ОТ 
"09.10.2014, 16:30 ",Юниор , Кристалл ,0,3,
"11.10.2014, 13:00 ",ХК МВД , Красная Армия ,2,3,
"12.10.2014, 13:00 ",Реактор , Толпар ,2,0,
"12.10.2014, 13:00 ",ХК МВД , Красная Армия ,5,1,
"12.10.2014, 17:00 ",Ладья , Белые Тигры ,3,2,  Б 
"13.10.2014, 18:00 ",Реактор , Толпар ,0,2,
"13.10.2014, 18:00 ",Атланты , Сахалинские Акулы ,3,2,
"13.10.2014, 18:30 ",Динамо СПб , Ред Булл ,6,5,  Б 
"13.10.2014, 18:30 ",МХК Химик , Амурские Тигры ,4,3,
"13.10.2014, 19:00 ",Ладья , Белые Тигры ,5,2,
"13.10.2014, 19:00 ",Беркуты Кубани , МХК Спартак ,4,3,
"13.10.2014, 19:30 ",Динамо-Шинник , Алмаз ,3,2,  Б 
"13.10.2014, 19:30 ",Юность , Локо ,1,4,
"13.10.2014, 20:35 ",ХК Рига , Энергия ,3,2,
"14.10.2014, 13:00 ",Беркуты Кубани , МХК Спартак ,3,2,  ОТ 
"14.10.2014, 16:00 ",Русские Витязи , Капитан ,1,2,  ОТ 
"14.10.2014, 17:00 ",Чайка , Олимпия ,5,4,  ОТ 
"14.10.2014, 18:00 ",Атланты , Сахалинские Акулы ,2,1,  Б 
"14.10.2014, 18:30 ",Динамо СПб , Ред Булл ,5,2,
"14.10.2014, 18:30 ",МХК Химик , Амурские Тигры ,2,4,
"14.10.2014, 19:30 ",Динамо-Шинник , Алмаз ,1,3,
"14.10.2014, 19:30 ",Юность , Локо ,2,3,
"14.10.2014, 20:35 ",ХК Рига , Энергия ,0,2,
"15.10.2014, 14:00 ",Омские Ястребы , Мамонты Югры ,2,3,  ОТ 
"15.10.2014, 15:00 ",Сибирские Снайперы , Тюменский Легион ,5,3,
"15.10.2014, 15:00 ",Кристалл , Кузнецкие Медведи ,5,3,
"15.10.2014, 16:30 ",Снежные Барсы , Авто ,5,0,
"15.10.2014, 17:00 ",Чайка , Олимпия ,3,0,
"15.10.2014, 17:00 ",Русские Витязи , Капитан ,5,2,
"15.10.2014, 18:30 ",Ирбис , Белые Медведи ,3,1,
"15.10.2014, 18:30 ",Челны , Стальные Лисы ,3,5,
"15.10.2014, 19:00 ",СКА-Серебряные Львы , СКА-1946 ,2,5,
"16.10.2014, 11:00 ",Снежные Барсы , Авто ,5,1,
"16.10.2014, 14:00 ",Омские Ястребы , Мамонты Югры ,7,2,
"16.10.2014, 15:00 ",Кристалл , Кузнецкие Медведи ,5,0,
"16.10.2014, 16:30 ",Сибирские Снайперы , Тюменский Легион ,6,4,
"16.10.2014, 18:00 ",Реактор , Белые Тигры ,2,1,
"16.10.2014, 18:30 ",Ирбис , Белые Медведи ,0,5,
"16.10.2014, 18:30 ",Челны , Стальные Лисы ,3,4,
"16.10.2014, 19:00 ",Ладья , Толпар ,3,7,
"16.10.2014, 19:00 ",СКА-Серебряные Львы , СКА-1946 ,3,1,
"17.10.2014, 14:00 ",ХК Рига , Ред Булл ,3,4,  Б 
"17.10.2014, 18:00 ",Реактор , Белые Тигры ,3,1,
"17.10.2014, 18:00 ",Атланты , Амурские Тигры ,6,2,
"17.10.2014, 18:30 ",Динамо СПб , Энергия ,2,3,  Б 
"17.10.2014, 18:30 ",МХК Химик , Сахалинские Акулы ,4,3,  Б 
"17.10.2014, 19:00 ",Ладья , Толпар ,1,5,
"17.10.2014, 19:00 ",Беркуты Кубани , Красная Армия ,5,4,
"17.10.2014, 19:30 ",Динамо-Шинник , Локо ,3,2,
"17.10.2014, 19:30 ",Юность , Алмаз ,2,3,  Б 
"18.10.2014, 10:00 ",Сибирские Снайперы , Мамонты Югры ,3,2,
"18.10.2014, 13:00 ",ХК Рига , Ред Булл ,3,5,
"18.10.2014, 13:00 ",Беркуты Кубани , Красная Армия ,4,6,
"18.10.2014, 13:00 ",ХК МВД , МХК Спартак ,1,2,
"18.10.2014, 13:00 ",Атланты , Амурские Тигры ,7,0,
"18.10.2014, 14:00 ",Юность , Алмаз ,4,2,
"18.10.2014, 14:30 ",Динамо-Шинник , Локо ,0,4,
"18.10.2014, 15:00 ",Снежные Барсы , Юниор ,5,3,
"18.10.2014, 17:00 ",Динамо СПб , Энергия ,1,2,
"18.10.2014, 17:00 ",МХК Химик , Сахалинские Акулы ,3,2,  ОТ 
"19.10.2014, 10:00 ",Омские Ястребы , Тюменский Легион ,3,0,
"19.10.2014, 13:00 ",ХК МВД , МХК Спартак ,4,2,
"19.10.2014, 15:00 ",Снежные Барсы , Юниор ,5,0,
"19.10.2014, 17:00 ",Челны , Белые Медведи ,4,7,
"20.10.2014, 14:00 ",Омские Ястребы , Тюменский Легион ,7,3,
"20.10.2014, 15:00 ",Сибирские Снайперы , Мамонты Югры ,4,5,
"20.10.2014, 18:30 ",Ирбис , Стальные Лисы ,3,1,
"20.10.2014, 18:30 ",Челны , Белые Медведи ,5,6,  Б 
"21.10.2014, 14:00 ",СКА-Серебряные Львы , Динамо-Шинник ,2,5,
"21.10.2014, 16:30 ",Толпар , Белые Тигры ,2,4,
"21.10.2014, 18:30 ",Ирбис , Стальные Лисы ,2,4,
"21.10.2014, 19:00 ",СКА-1946 , Юность ,3,2,
"22.10.2014, 14:00 ",СКА-Серебряные Львы , Динамо-Шинник ,3,4,  Б 
"22.10.2014, 16:30 ",Толпар , Белые Тигры ,2,3,
"22.10.2014, 19:00 ",СКА-1946 , Юность ,1,3,
"24.10.2014, 12:00 ",Амурские Тигры , Беркуты Кубани ,3,1,
"24.10.2014, 12:30 ",Сахалинские Акулы , ХК МВД ,0,4,
"24.10.2014, 14:00 ",СКА-Серебряные Львы , Юность ,2,6,
"24.10.2014, 15:00 ",Авто , Омские Ястребы ,4,2,
"24.10.2014, 16:30 ",Юниор , Сибирские Снайперы ,2,0,
"24.10.2014, 17:00 ",Русские Витязи , МХК Химик ,1,4,
"24.10.2014, 18:30 ",Алмаз , Динамо СПб ,5,4,  Б 
"24.10.2014, 19:00 ",СКА-1946 , Динамо-Шинник ,3,2,  ОТ 
"24.10.2014, 19:00 ",Капитан , Атланты ,5,6,
"24.10.2014, 19:30 ",Локо , ХК Рига ,4,2,
