"30.09.2015, 20:30 ",Слован , Трактор ,1,3,
"30.09.2015, 20:30 ",Медвешчак , Нефтехимик ,3,2,  ОТ 
"01.10.2015, 12:30 ",Амур , Лада ,3,2,
"01.10.2015, 12:30 ",Адмирал , Ак Барс ,1,0,
"01.10.2015, 17:00 ",Автомобилист , Торпедо ,3,2,
"01.10.2015, 17:00 ",Югра , Динамо Мн ,2,1,  ОТ 
"01.10.2015, 18:30 ",Йокерит , СКА ,3,2,
"01.10.2015, 19:30 ",Северсталь , Авангард ,3,4,
"01.10.2015, 19:30 ",ЦСКА , Барыс ,4,3,  ОТ 
"01.10.2015, 19:30 ",Динамо Р , Спартак ,4,3,  Б 
"02.10.2015, 20:30 ",Слован , Салават Юлаев ,3,4,  ОТ 
"02.10.2015, 20:30 ",Медвешчак , Металлург Мг ,4,1,
"03.10.2015, 14:30 ",Трактор , СКА ,2,1,  ОТ 
"03.10.2015, 17:00 ",Нефтехимик , Спартак ,3,0,
"03.10.2015, 17:00 ",Динамо Мн , Авангард ,4,2,
"03.10.2015, 17:00 ",Локомотив , Динамо М ,3,2,  Б 
"03.10.2015, 17:00 ",Торпедо , Барыс ,2,0,
"03.10.2015, 17:00 ",ХК Сочи , Витязь ,5,0,
"04.10.2015, 10:00 ",Адмирал , Амур ,2,0,
"04.10.2015, 14:30 ",Автомобилист , Сибирь ,2,3,  Б 
"04.10.2015, 14:30 ",Югра , Металлург Нк ,3,2,  Б 
"04.10.2015, 16:00 ",Йокерит , ЦСКА ,1,3,
"04.10.2015, 18:30 ",Слован , Металлург Мг ,2,5,
"04.10.2015, 18:30 ",Медвешчак , Салават Юлаев ,2,3,
"05.10.2015, 17:00 ",Трактор , Спартак ,2,1,  ОТ 
"05.10.2015, 18:00 ",Лада , Динамо Р ,1,2,  Б 
"05.10.2015, 19:00 ",Нефтехимик , СКА ,3,4,  Б 
"05.10.2015, 19:00 ",Локомотив , Витязь ,3,1,
"05.10.2015, 19:00 ",Торпедо , Авангард ,3,2,  Б 
"05.10.2015, 19:30 ",Динамо Мн , Барыс ,6,2,
"05.10.2015, 19:30 ",ХК Сочи , Динамо М ,4,3,
"06.10.2015, 17:00 ",Автомобилист , Металлург Нк ,2,1,
"06.10.2015, 17:00 ",Югра , Сибирь ,2,1,  Б 
"06.10.2015, 19:30 ",Северсталь , ЦСКА ,2,1,
"07.10.2015, 17:00 ",Металлург Мг , Медвешчак ,3,2,  ОТ 
"07.10.2015, 17:00 ",Салават Юлаев , Слован ,3,2,
"07.10.2015, 17:00 ",Трактор , Йокерит ,5,3,
"07.10.2015, 18:00 ",Лада , Витязь ,1,0,
"07.10.2015, 19:00 ",Нефтехимик , Динамо Р ,3,1,
"07.10.2015, 19:30 ",Ак Барс , Динамо М ,3,2,
"07.10.2015, 19:30 ",ХК Сочи , Спартак ,2,6,
"08.10.2015, 16:00 ",Авангард , Сибирь ,3,2,  Б 
"08.10.2015, 16:30 ",Барыс , Металлург Нк ,4,2,
"08.10.2015, 17:00 ",Автомобилист , Адмирал ,1,3,
"08.10.2015, 17:00 ",Югра , Амур ,0,1,
"08.10.2015, 19:30 ",Динамо Мн , Северсталь ,1,3,
"09.10.2015, 17:00 ",Металлург Мг , Слован ,2,3,
"09.10.2015, 17:00 ",Салават Юлаев , Медвешчак ,2,5,
"09.10.2015, 17:00 ",Трактор , Динамо Р ,3,2,  Б 
"09.10.2015, 18:00 ",Лада , Динамо М ,0,5,
"09.10.2015, 19:00 ",Нефтехимик , Йокерит ,0,3,
"09.10.2015, 19:00 ",Ак Барс , Витязь ,2,4,
"09.10.2015, 19:30 ",ЦСКА , Торпедо ,1,4,
"10.10.2015, 14:00 ",Авангард , Металлург Нк ,1,4,
"10.10.2015, 14:30 ",Автомобилист , Амур ,2,0,
"10.10.2015, 14:30 ",Барыс , Сибирь ,3,6,
"10.10.2015, 14:30 ",Югра , Адмирал ,3,0,
"10.10.2015, 17:00 ",СКА , Локомотив ,0,3,
"10.10.2015, 17:00 ",Спартак , ХК Сочи ,4,3,
"11.10.2015, 16:00 ",Лада , Слован ,2,1,
"11.10.2015, 17:00 ",Северсталь , Торпедо ,1,2,  ОТ 
"11.10.2015, 17:00 ",Ак Барс , Медвешчак ,2,0,
"11.10.2015, 17:00 ",ЦСКА , Динамо Мн ,2,1,
"12.10.2015, 16:00 ",Авангард , Амур ,2,1,  Б 
"12.10.2015, 16:30 ",Барыс , Адмирал ,5,3,
"12.10.2015, 17:00 ",Трактор , Нефтехимик ,1,3,
"12.10.2015, 19:00 ",Йокерит , Салават Юлаев ,1,5,
"12.10.2015, 19:30 ",СКА , ХК Сочи ,1,2,
"12.10.2015, 19:30 ",Спартак , Локомотив ,0,2,
