31,Ренн , Сент-Этьен ,1,0
31,Марсель , Гренобль ,4,1
31,Лилль , ПСЖ ,0,0
31,Лион , Монако ,2,2
32,Кан , Нанси ,1,2
32,Гренобль , Тулуза ,1,0
32,Монако , Ренн ,3,1
32,Нант , Ницца ,2,0
32,Сошо , Осер ,0,1
32,Валансьен , Ле-Ман ,0,2
32,Сент-Этьен , Лилль ,2,1
32,Лорьян , Марсель ,1,2
32,ПСЖ , Гавр ,3,0
32,Бордо , Лион ,1,0
33,Лион , ПСЖ ,0,0
33,Осер , Кан ,2,1
33,Гавр , Гренобль ,0,1
33,Ле-Ман , Монако ,0,1
33,Нанси , Нант ,2,0
33,Ницца , Сент-Этьен ,3,1
33,Сошо , Валансьен ,1,1
33,Тулуза , Лорьян ,1,1
33,Лилль , Марсель ,1,2
33,Ренн , Бордо ,2,3
34,Кан , Ле-Ман ,3,1
34,Гренобль , Ницца ,0,0
34,Лорьян , Лилль ,3,1
34,Монако , Осер ,0,1
34,Сент-Этьен , Нанси ,0,0
34,Валансьен , Лион ,2,0
34,Марсель , Тулуза ,2,2
34,Нант , Гавр ,1,2
34,ПСЖ , Ренн ,0,1
34,Бордо , Сошо ,3,0
35,Лион , Нант ,3,0
35,Осер , Гренобль ,2,0
35,Гавр , Сент-Этьен ,2,4
35,Ле-Ман , ПСЖ ,0,1
35,Нанси , Лорьян ,2,2
35,Ницца , Марсель ,0,2
35,Ренн , Кан ,1,0
35,Сошо , Монако ,3,0
35,Тулуза , Лилль ,0,0
35,Валансьен , Бордо ,1,2
36,Бордо , Ле-Ман ,3,2
36,Кан , Сошо ,2,0
36,Гренобль , Нанси ,0,0
36,Лорьян , Гавр ,1,1
36,Монако , Валансьен ,1,1
36,Сент-Этьен , Тулуза ,2,2
36,ПСЖ , Осер ,1,2
36,Лилль , Ницца ,1,1
36,Нант , Ренн ,1,1
36,Марсель , Лион ,1,3
37,Осер , Сент-Этьен ,1,0
37,Бордо , Монако ,1,0
37,Гавр , Лилль ,0,1
37,Ле-Ман , Гренобль ,1,1
37,Лион , Кан ,3,1
37,Нанси , Марсель ,1,2
37,Ницца , Тулуза ,0,2
37,Ренн , Лорьян ,3,1
37,Сошо , Нант ,2,1
37,Валансьен , ПСЖ ,2,1
38,Кан , Бордо ,0,1
38,Гренобль , Сошо ,0,1
38,Лилль , Нанси ,3,2
38,Лорьян , Ле-Ман ,1,1
38,Марсель , Ренн ,4,0
38,Нант , Осер ,2,1
38,Ницца , Гавр ,0,0
38,ПСЖ , Монако ,0,0
38,Сент-Этьен , Валансьен ,4,0
38,Тулуза , Лион ,0,0
